window_start_idx,window_end_idx,score,label
2704,2831,0.008561611,0
2720,2847,0.009078622,0
2736,2863,0.012394667,0
2752,2879,0.012051225,0
2768,2895,0.023867607,0
2784,2911,0.011990786,0
2800,2927,0.013555527,0
2816,2943,0.014866352,0
2832,2959,0.015842438,0
2848,2975,0.020574331,0
2864,2991,0.02962935,0
2880,3007,0.018790245,0
2896,3023,0.01058352,0
2912,3039,0.03499782,0
2928,3055,0.019132853,0
2944,3071,0.048257947,0
2960,3087,0.021162987,0
2976,3103,0.017646074,0
2992,3119,0.048074245,0
3008,3135,0.18417585,0
3024,3151,0.21994877,0
3040,3167,0.06936526,0
3056,3183,0.033937216,0
3072,3199,0.01459527,0
3088,3215,0.019661188,0
3104,3231,0.012590408,0
3120,3247,0.008258343,0
3136,3263,0.007088542,0
3152,3279,0.011120319,0
3168,3295,0.008555293,0
3184,3311,0.02455473,0
3200,3327,0.021558404,0
3216,3343,0.022654891,0
3232,3359,0.015504599,0
3248,3375,0.021194458,0
3264,3391,0.028673053,0
3280,3407,0.021091223,0
3296,3423,0.013951421,0
3312,3439,0.009165764,0
3328,3455,0.011428833,0
3344,3471,0.011894226,0
3360,3487,0.018914938,0
3376,3503,0.013282657,0
3392,3519,0.0628345,0
3408,3535,0.22022903,0
3424,3551,0.19949245,0
3440,3567,0.068751335,0
3456,3583,0.027629375,0
3472,3599,0.010079861,0
3488,3615,0.0207479,0
3504,3631,0.018211126,0
3520,3647,0.010856628,0
3536,3663,0.013579488,0
3552,3679,0.015892029,0
3568,3695,0.030383825,0
3584,3711,0.02453518,0
3600,3727,0.026532292,0
3616,3743,0.020050526,0
3632,3759,0.1948632,0
3648,3775,0.6859584,1
3664,3791,0.4770615,0
3680,3807,0.21340787,0
3696,3823,1.732023,1
3712,3839,1.1002302,1
3728,3855,0.64294493,1
3744,3871,0.29778683,0
3760,3887,0.37745976,0
3776,3903,0.1100049,0
3792,3919,0.24845743,0
3808,3935,0.22697687,0
3824,3951,0.48072565,0
3840,3967,1.4397938,1
3856,3983,1.7914534,1
3872,3999,1.8279071,1
3888,4015,1.6442952,1
3904,4031,1.8384418,1
3920,4047,1.438005,1
3936,4063,1.8187072,1
3952,4079,0.6827947,1
3968,4095,1.7055254,1
3984,4111,1.81499,1
4000,4127,1.8168797,1
4016,4143,1.8384135,1
4032,4159,1.7614684,1
4048,4175,1.8235726,1
4064,4191,1.8276155,1
4080,4207,1.8725975,1
4096,4223,1.5838482,1
4112,4239,1.2196994,1
4128,4255,1.208853,1
4144,4271,0.23598325,0
4160,4287,0.32189214,0
4176,4303,0.62071085,1
4192,4319,0.12700748,0
4208,4335,0.025192022,0
4224,4351,0.04164672,0
4240,4367,0.016797781,0
4256,4383,0.1978426,0
4272,4399,0.9890003,1
4288,4415,1.2482693,1
4304,4431,0.20339417,0
4320,4447,0.20397556,0
4336,4463,0.22213244,0
4352,4479,1.2945988,1
4368,4495,1.0747797,1
4384,4511,1.5767844,1
4400,4527,1.046912,1
4416,4543,0.5356674,0
4432,4559,0.64303875,1
4448,4575,0.7788639,1
4464,4591,1.2453918,1
4480,4607,0.8063865,1
4496,4623,1.0104395,1
4512,4639,0.34143364,0
4528,4655,0.058496952,0
4544,4671,0.09742594,0
4560,4687,0.07734382,0
4576,4703,0.5070772,0
4592,4719,0.48845363,0
4608,4735,1.108583,1
4624,4751,1.2455516,1
4640,4767,0.10474408,0
4656,4783,0.74227715,1
4672,4799,1.0264091,1
4688,4815,0.12080145,0
4704,4831,0.05522275,0
4720,4847,0.1776613,0
4736,4863,0.17578745,0
4752,4879,0.20396936,0
4768,4895,1.2565968,1
4784,4911,1.5616868,1
4800,4927,1.8673053,1
4816,4943,1.0804741,1
4832,4959,0.7180288,1
4848,4975,1.0688953,1
4864,4991,1.497014,1
4880,5007,1.6808414,1
4896,5023,1.7044413,1
4912,5039,1.7019715,1
4928,5055,1.6166291,1
4944,5071,1.862205,1
4960,5087,1.87609,1
4976,5103,1.8856583,1
4992,5119,1.4342592,1
5008,5135,0.3174119,0
5024,5151,1.8326142,1
5040,5167,1.6555605,1
5056,5183,1.7981038,1
5072,5199,1.7991743,1
5088,5215,1.845386,1
5104,5231,1.8289008,1
5120,5247,1.8747268,1
5136,5263,1.6107802,1
5152,5279,1.86796,1
5168,5295,1.8520367,1
5184,5311,1.8541892,1
5200,5327,1.8793039,1
5216,5343,1.4808896,1
5232,5359,1.8763025,1
5248,5375,1.6041999,1
5264,5391,1.8012292,1
5280,5407,1.86199,1
5296,5423,1.8663046,1
5312,5439,1.8883901,1
5328,5455,1.2312009,1
5344,5471,1.6940148,1
5360,5487,1.8608589,1
5376,5503,1.8658319,1
5392,5519,1.8271804,1
5408,5535,1.8360891,1
5424,5551,1.0806525,1
5440,5567,0.6983365,1
5456,5583,1.8800578,1
5472,5599,0.693972,1
5488,5615,1.6726818,1
5504,5631,0.47369182,0
5520,5647,1.0800369,1
5536,5663,1.8334031,1
5552,5679,1.8807876,1
5568,5695,1.021627,1
5584,5711,1.7939065,1
5600,5727,1.8798208,1
5616,5743,1.3194273,1
5632,5759,0.16473591,0
5648,5775,0.17080152,0
5664,5791,0.07584572,0
5680,5807,0.06750679,0
