timestamp_ms,accel_x_mean,accel_x_std,accel_y_mean,accel_y_std,accel_z_mean,accel_z_std,gyro_x_mean,gyro_y_mean,gyro_z_mean,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,yaw_speed,foot_force_0,foot_force_1,foot_force_2,foot_force_3,body_height,mode,gait_type,error_code,power_v_mean,power_a_mean
600,-0.017725,0.061325,-0.187404,0.034299,9.578623,0.033276,-0.009759,-0.005670,0.003161,-0.053191,-0.136920,0.316840,-0.009438,-0.005430,-0.021723,-0.016334,-0.018294,-0.707954,0.011718,0.000000,0.000000,0.000000,0.000000,0.322445,0.000000,0.000000,100.000000,30.119440,-1.974000
622,-0.003360,0.061756,-0.183697,0.036158,9.574683,0.034669,-0.009656,-0.004673,0.004880,-0.053174,-0.136898,0.316844,0.016392,0.003654,-0.022405,-0.016325,-0.018320,-0.707798,0.008522,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.974000
640,-0.006305,0.060624,-0.182997,0.037957,9.565393,0.027604,-0.009765,-0.003444,0.003302,-0.053154,-0.136877,0.316840,0.020969,-0.004739,-0.023250,-0.016361,-0.018326,-0.707649,0.012783,0.000000,0.000000,0.000000,0.000000,0.322442,0.000000,0.000000,100.000000,30.119440,-1.974000
660,-0.017238,0.057963,-0.185471,0.038199,9.575451,0.026102,-0.009765,-0.003906,0.002983,-0.053159,-0.136882,0.316840,-0.003885,-0.005531,-0.022350,-0.016375,-0.018293,-0.707816,-0.013848,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.128294,-1.974000
680,-0.023942,0.062429,-0.179372,0.039549,9.574644,0.022809,-0.007388,-0.004227,0.002199,-0.053206,-0.136931,0.316843,-0.010607,-0.007999,-0.022093,-0.016361,-0.018273,-0.708128,-0.005326,0.000000,0.000000,0.000000,0.000000,0.322442,0.000000,0.000000,100.000000,30.119440,-1.974000
700,-0.012193,0.061897,-0.179077,0.039397,9.565499,0.025449,-0.007891,-0.003314,0.002880,-0.053218,-0.136923,0.316846,0.001274,-0.008905,-0.022532,-0.016379,-0.018324,-0.708063,0.018109,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.974000
720,-0.003591,0.063874,-0.175589,0.039339,9.573899,0.027599,-0.008446,-0.003576,0.003158,-0.053183,-0.136893,0.316839,0.005977,0.004040,-0.022336,-0.016369,-0.018330,-0.707792,0.008522,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.974000
740,-0.005772,0.062430,-0.182515,0.036063,9.580355,0.028941,-0.008332,-0.004870,0.002473,-0.053170,-0.136876,0.316838,-0.009339,0.011334,-0.022051,-0.016318,-0.018326,-0.707720,-0.008522,0.000000,0.000000,0.000000,0.000000,0.322437,0.000000,0.000000,100.000000,30.110588,-1.974000
760,-0.015651,0.066769,-0.177437,0.032464,9.578491,0.030165,-0.007615,-0.006076,-0.000552,-0.053200,-0.136914,0.316839,-0.007495,-0.007352,-0.022353,-0.016308,-0.018319,-0.707986,-0.010653,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.110588,-1.974000
780,-0.009089,0.061271,-0.171097,0.032144,9.575697,0.037490,-0.008246,-0.006707,0.001144,-0.053243,-0.136955,0.316830,-0.007613,-0.001124,-0.022441,-0.016323,-0.018313,-0.708257,-0.003196,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.119440,-1.974000
800,0.004070,0.057090,-0.173300,0.029219,9.582831,0.032276,-0.006960,-0.005362,0.004368,-0.053222,-0.136936,0.316829,0.002219,0.007464,-0.022368,-0.016323,-0.018318,-0.708103,0.020240,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.128294,-1.974000
820,-0.001486,0.054902,-0.177047,0.031122,9.577923,0.036220,-0.006612,-0.006171,0.003086,-0.053209,-0.136920,0.316828,-0.005302,-0.001009,-0.022667,-0.016297,-0.018323,-0.707930,0.008522,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.974000
839,-0.015722,0.051394,-0.178647,0.030491,9.573178,0.033094,-0.008096,-0.004439,0.000710,-0.053199,-0.136914,0.316831,0.001181,-0.002117,-0.022809,-0.016373,-0.018319,-0.708050,-0.012783,0.000000,0.000000,0.000000,0.000000,0.322438,0.000000,0.000000,100.000000,30.119440,-1.974000
860,-0.030661,0.063456,-0.179835,0.033218,9.578930,0.036487,-0.008144,-0.005258,0.001512,-0.053232,-0.136961,0.316829,0.005234,-0.011528,-0.022350,-0.016349,-0.018292,-0.708318,0.001065,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.119440,-1.974000
880,-0.027932,0.063522,-0.172861,0.034635,9.582952,0.030762,-0.006995,-0.003267,0.001846,-0.053253,-0.136975,0.316846,-0.006798,-0.006337,-0.021483,-0.016325,-0.018290,-0.708378,-0.006392,0.000000,0.000000,0.000000,0.000000,0.322445,0.000000,0.000000,100.000000,30.119440,-1.974000
900,-0.021123,0.067310,-0.171147,0.032090,9.576922,0.031182,-0.008110,-0.004708,0.002749,-0.053241,-0.136939,0.316846,0.001239,0.002047,-0.022128,-0.016351,-0.018340,-0.708106,0.021305,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.974000
920,-0.026413,0.062059,-0.179333,0.031164,9.581363,0.030601,-0.008660,-0.004399,0.002749,-0.053217,-0.136929,0.316859,0.008723,-0.004624,-0.021639,-0.016298,-0.018346,-0.707992,-0.003196,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.974000
940,-0.033998,0.063992,-0.178528,0.033579,9.584110,0.030381,-0.005788,-0.005788,0.000497,-0.053252,-0.136949,0.316866,0.004734,-0.006381,-0.021830,-0.016282,-0.018361,-0.708275,-0.009587,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.974000
960,-0.026722,0.054911,-0.172074,0.033257,9.579704,0.029606,-0.005704,-0.005807,0.000137,-0.053322,-0.136993,0.316859,-0.013061,-0.019688,-0.021972,-0.016237,-0.018380,-0.708524,0.009587,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.974000
980,-0.006912,0.051435,-0.175279,0.029820,9.581169,0.028157,-0.007079,-0.006632,0.003986,-0.053319,-0.136972,0.316860,-0.008571,-0.001412,-0.021364,-0.016222,-0.018439,-0.708392,0.017044,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.974000
1000,-0.000918,0.060351,-0.181520,0.033271,9.584550,0.032507,-0.006321,-0.004474,0.004119,-0.053288,-0.136959,0.316864,0.005761,-0.004984,-0.021975,-0.016208,-0.018411,-0.708240,0.017044,0.000000,0.000000,0.000000,0.000000,0.322446,0.000000,0.000000,100.000000,30.119440,-1.974000
1020,-0.008021,0.059886,-0.182159,0.036023,9.573415,0.042934,-0.006108,-0.003977,0.001278,-0.053293,-0.136970,0.316860,-0.009715,-0.015831,-0.022502,-0.016217,-0.018396,-0.708346,-0.012783,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.119440,-1.974000
1040,-0.015601,0.066901,-0.182384,0.035364,9.576691,0.050093,-0.006666,-0.004158,0.002165,-0.053320,-0.136999,0.316856,-0.008461,0.004153,-0.022061,-0.016219,-0.018396,-0.708548,-0.007457,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.119440,-1.974000
1060,-0.011508,0.064019,-0.176167,0.039483,9.578622,0.057839,-0.007697,-0.002749,0.004845,-0.053317,-0.137015,0.316848,-0.006031,0.005300,-0.022277,-0.016219,-0.018343,-0.708584,0.022371,0.000000,0.000000,0.000000,0.000000,0.322446,0.000000,0.000000,100.000000,30.119440,-1.985000
1080,-0.004788,0.067274,-0.169911,0.042673,9.567462,0.058578,-0.007148,-0.002405,0.005086,-0.053291,-0.136992,0.316848,-0.015970,0.009501,-0.022235,-0.016204,-0.018332,-0.708345,0.011718,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.985000
1100,-0.018806,0.054256,-0.170799,0.041709,9.566419,0.056833,-0.007526,-0.001959,0.003505,-0.053250,-0.136979,0.316837,-0.008001,-0.002526,-0.022505,-0.016241,-0.018277,-0.708272,-0.003196,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.985000
1120,-0.032042,0.055728,-0.163803,0.034487,9.577683,0.050793,-0.008558,-0.003160,0.001740,-0.053263,-0.137000,0.316829,-0.009641,0.004753,-0.022273,-0.016283,-0.018250,-0.708514,-0.018109,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.119440,-1.985000
1140,-0.032013,0.053730,-0.165393,0.035997,9.575804,0.042774,-0.009656,-0.003368,0.001031,-0.053291,-0.137034,0.316822,0.004423,-0.014847,-0.022879,-0.016322,-0.018259,-0.708753,-0.007457,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.119440,-1.985000
1160,-0.018515,0.052859,-0.170188,0.032566,9.573295,0.034448,-0.009623,-0.004048,0.003977,-0.053275,-0.137031,0.316815,0.001574,-0.002955,-0.022524,-0.016357,-0.018231,-0.708615,0.027697,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.985000
1182,-0.012250,0.059367,-0.175974,0.038512,9.580119,0.024277,-0.009658,-0.005575,0.004155,-0.053239,-0.136973,0.316826,-0.007054,-0.012598,-0.022367,-0.016374,-0.018272,-0.708287,0.007457,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.985000
1199,-0.015176,0.058463,-0.181535,0.041854,9.578854,0.021963,-0.008831,-0.005704,0.001993,-0.053225,-0.136973,0.316821,0.006128,-0.003796,-0.022813,-0.016358,-0.018255,-0.708413,-0.008522,0.000000,0.000000,0.000000,0.000000,0.322437,0.000000,0.000000,100.000000,30.119440,-1.985000
1220,-0.020505,0.063641,-0.183774,0.043827,9.576998,0.027996,-0.008797,-0.006117,0.000825,-0.053260,-0.137019,0.316821,-0.006097,-0.000083,-0.022287,-0.016441,-0.018204,-0.708826,-0.017044,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.985000
1240,-0.017532,0.060810,-0.180067,0.043236,9.585301,0.032276,-0.007457,-0.005567,0.003093,-0.053298,-0.137050,0.316822,-0.012213,-0.013983,-0.021784,-0.016389,-0.018218,-0.708895,0.014914,0.000000,0.000000,0.000000,0.000000,0.322441,0.000000,0.000000,100.000000,30.110588,-1.985000
1261,-0.008109,0.064691,-0.182152,0.042465,9.575879,0.036229,-0.007938,-0.005086,0.006014,-0.053263,-0.137016,0.316825,0.003369,0.005748,-0.022311,-0.016401,-0.018233,-0.708612,0.023436,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.985000
1280,-0.016759,0.056941,-0.188872,0.034504,9.574993,0.036957,-0.008625,-0.003265,0.004261,-0.053225,-0.137002,0.316822,0.005513,-0.005349,-0.022779,-0.016405,-0.018193,-0.708468,0.005326,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.985000
1300,-0.030777,0.060034,-0.182848,0.032245,9.576076,0.035925,-0.008934,-0.003746,0.001993,-0.053248,-0.137017,0.316818,-0.006824,-0.002890,-0.022523,-0.016385,-0.018208,-0.708693,-0.015979,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.110588,-1.985000
1320,-0.031125,0.059476,-0.176669,0.036105,9.580359,0.032342,-0.008316,-0.004914,0.002990,-0.053306,-0.137069,0.316817,-0.015525,-0.017265,-0.022456,-0.016355,-0.018222,-0.708965,-0.003196,0.000000,0.000000,0.000000,0.000000,0.322435,0.000000,0.000000,100.000000,30.119440,-1.985000
1340,-0.017300,0.059728,-0.170915,0.037156,9.575569,0.026664,-0.009278,-0.005670,0.004777,-0.053274,-0.137036,0.316826,-0.006971,0.009308,-0.021551,-0.016422,-0.018217,-0.708897,0.011718,0.000000,0.000000,0.000000,0.000000,0.322435,0.000000,0.000000,100.000000,30.119440,-1.985000
1360,-0.010614,0.067598,-0.169350,0.040949,9.578960,0.023180,-0.008948,-0.005539,0.002770,-0.053258,-0.137026,0.316830,-0.000508,0.002711,-0.021883,-0.016424,-0.018200,-0.708736,0.024501,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.985000
1380,-0.017416,0.063532,-0.184354,0.047806,9.573253,0.027404,-0.007938,-0.004914,0.000515,-0.053244,-0.137035,0.316821,0.003116,-0.006715,-0.022834,-0.016396,-0.018161,-0.708777,-0.012783,0.000000,0.000000,0.000000,0.000000,0.322434,0.000000,0.000000,100.000000,30.119440,-1.985000
